Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
14,3.26%,96.74%,0.057291666666666664,94.27%,94.55%,94.79%,0.9466840052015604

Average,3.26%,96.74185463659148,0.057291666666666664,94.27083333333334,94.54545454545455,94.79166666666666,0.9466840052015604
