Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
2,1.34%,98.66%,0.03943661971830986,96.06%,96.35%,96.62%,0.9648382559774965

Average,1.34%,98.6614853195164,0.03943661971830986,96.05633802816902,96.34831460674157,96.61971830985917,0.9648382559774965
