Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
7,1.51%,98.49%,0.047619047619047616,95.24%,95.37%,98.10%,0.9671361502347416

Average,1.51%,98.48726114649682,0.047619047619047616,95.23809523809523,95.37037037037037,98.09523809523809,0.9671361502347416
