Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
7,4.66%,95.34%,0.08095238095238096,91.90%,94.56%,95.24%,0.9489916963226571

Average,4.66%,95.34235668789809,0.08095238095238096,91.9047619047619,94.56264775413712,95.23809523809523,0.9489916963226571
