Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
undefined,4.13%,93.28%,0.17620000000000002,72.77%,86.70%,83.27%,0.8494949494949495

Average,4.13%,95.87%,0.17620000000000002,72.77,86.7,83.27,0.8494949494949495
