Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
3,3.14%,96.86%,0.0698856416772554,93.01%,94.11%,93.39%,0.9375000000000001

Average,3.14%,96.8562874251497,0.0698856416772554,93.01143583227446,94.1101152368758,93.39263024142312,0.9375000000000001
