Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
3,0.77%,99.23%,0.026683608640406607,97.33%,97.71%,97.71%,0.97712833545108

Average,0.77%,99.23011120615911,0.026683608640406607,97.33163913595934,97.712833545108,97.712833545108,0.97712833545108
