Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
undefined,4.30%,92.90%,0.1722,73.65%,86.33%,84.19%,0.8524727577535625

Average,4.30%,95.70%,0.1722,73.65,86.33,84.19,0.8524727577535625
