Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
4,2.92%,97.08%,0.07380607814761216,92.62%,95.15%,93.63%,0.9438366156090445

Average,2.92%,97.0769582096369,0.07380607814761216,92.61939218523878,95.1470588235294,93.63241678726484,0.9438366156090445
