Page,CER,Character Accuracy,WER,Word Accuracy,Bag of Tokens Precision,Bag of Tokens Recall,Bag of Tokens F-measure
4,2.44%,97.56%,0.05788712011577424,94.21%,94.55%,95.37%,0.9495677233429394

Average,2.44%,97.55651975336835,0.05788712011577424,94.21128798842258,94.5480631276901,95.36903039073806,0.9495677233429394
